0.119,380.388,0.152
0.027,374.992,0.05
0.009,375.895,0.039
0.001,377.264,0.04
0.001,376.615,0.051
0.001,378.407,0.039
0.001,382.958,0.041
0.001,379.929,0.043
0.001,373.309,0.045
0.001,378.024,0.039
0.122,666.395,0.117
0.027,656.732,0.057
0.009,654.107,0.05
0.001,654.843,0.047
0.001,656.633,0.061
0.001,656.726,0.04
0.001,663.87,0.063
0.001,657.311,0.064
0.001,659.577,0.06
0.001,653.034,0.049
0.126,1262.856,0.118
0.027,1253.541,0.042
0.009,1257.624,0.046
0.001,1243.168,0.044
0.001,1258.589,0.048
0.001,1257.357,0.059
0.001,1250.882,0.046
0.001,1250.488,0.064
0.001,1258.081,0.044
0.001,1246.166,0.046
0.118,2372.58,0.117
0.027,2297.512,0.043
0.009,2348.06,0.046
0.001,2332.204,0.044
0.001,2352.038,0.066
0.001,2302.338,0.049
0.001,2431.859,0.048
0.001,2401.027,0.046
0.001,2341.654,0.043
0.001,2378.529,0.049
0.119,1372.578,0.12
0.027,1384.217,0.042
0.009,1376.421,0.045
0.001,1436.574,0.045
