0.084,205.041,0.198
0.014,118.42,0.074
0.004,176.467,0.058
0.002,163.157,0.054
0.002,77.508,0.062
0.002,58.535,0.047
0.003,56.952,0.046
0.001,57.512,0.045
0.001,57.445,0.062
0.002,57.709,0.055
0.084,76.292,0.175
0.013,61.19,0.046
0.003,60.567,0.068
0.002,61.357,0.048
0.002,62.453,0.068
0.002,60.33,0.045
0.002,60.133,0.06
0.003,60.439,0.067
0.002,61.092,0.046
0.002,61.021,0.052
0.089,75.991,0.18
0.011,58.584,0.051
0.074,118.223,0.222
0.011,103.752,0.048
0.099,223.7,0.178
0.011,198.187,0.068
0.109,405.001,0.217
0.013,368.185,0.064
0.09,179.5,0.252
0.014,154.765,0.061
0.08,203.831,0.159
0.011,85.275,0.051
0.005,61.631,0.043
0.001,61.588,0.049
0.002,60.205,0.068
